ucDirectory_UcListing_lblOwner,ucDirectory_UcListing_lblAddress1,ucDirectory_UcListing_lblCity,ucDirectory_UcListing_lblStateProvince,ucDirectory_UcListing_lblZipPostal,ucDirectory_UcListing_lblFax,ucDirectory_UcListing_lblPhone1,ucDirectory_UcListing_hlWebsite
Waterloo Region Economic Development Corporation,"260 King St W, Suite 201",Kitchener,", Ontario",N2G 1B6,,(519) 747-2541,http://www.wredc.ca
Trinity Village,2727 Kingsway Drive,Kitchener,", Ontario",N2C 1A7,(519) 893-3432,(519) 893-6320,http://www.trinityvillage.com
Cardy Winters & Simon LLP,"630 Riverbend Dr, Suite 103",Kitchener,", Ontario",N2K 3S2,(519) 579-7576,(519) 744-4030,http://www.cwscpa.ca
Glenbriar Bottled Water Co Ltd,183 Frobisher Drive,Waterloo,", Ontario",N2V 2G4,(519) 747-0547,(519) 747-0500,http://www.glenbriarwater.ca
Active Therapy Solutions,65 University Avenue East,Waterloo,", Ontario",N2J 2V9,(519) 884-8725,(519) 884-8186,
Giffen LLP,"50 Queen St N, Suite 500",Kitchener,", Ontario",N2H 6P4,(519) 578-8740,(519) 578-4150,http://www.giffenlawyers.com
Twinlode Canada,"55 Northfield Drive East, Suite 201",Waterloo,", Ontario",N2K 3T6,(519) 746-3049,(519) 746-1112,http://www.twinlode.ca
Prestige Business Interiors Inc,"60 Northland Rd, Unit 5",Waterloo,", Ontario",N2V 2B8,(519) 886-0015,(519) 886-9948,http://www.prestigebusinessinteriors.com
Golf's Steak House & Seafood,598 Lancaster Street West,Kitchener,", Ontario",N2K 1M3,(519) 579-3778,(519) 579-4050,http://www.golfssteakhouse.com
The Cadillac Fairview Corporation Limited,Administration Office,Kitchener,", Ontario",N2C 1X1,(519) 893-4766,(519) 894-2450,http://www.cadillacfairview.com
Choice Properties REIT,875 Highland Road West,Kitchener,", Ontario",N2N 2Y2,(519) 578-4423,(519) 578-6061,http://www.choicereit.ca
Gowling WLG (Canada) LLP,"50 Queen St N, Suite 1020",Kitchener,", Ontario",N2H 6M2,(519) 576-6361,(519) 576-6910,http://www.gowlingwlg.com
My VIP,340 Southgate Drive,Guelph,", Ontario",N1G 4P5,(519) 827-0585,(519) 827-0513,
H. Wolynetz Investments Ltd,"280 Victoria St N, Unit 5",Kitchener,", Ontario",N2H 5E2,(519) 579-6334,(519) 579-2650,
AET Group Inc.,531 Wellington Street North,Kitchener,", Ontario",N2H 5L6,(519) 570-9589,(519) 576-9723,http://www.aet98.com
Triak Mechanical Inc,259 Westvale Drive,Waterloo,", Ontario",N2T 1Y3,(519) 885-8363,(519) 888-0886,
NDI,103 Randall Drive,Waterloo,", Ontario",N2V 1C5,(519) 884-5184,(519) 884-5142,http://www.ndigital.com
Guhring Corp,20 Steckle Place,Kitchener,", Ontario",N2E 2C3,(519) 748-2954,(519) 748-9664,http://www.guhring.com
The UPS Store #135,420 Erb Street West,Waterloo,", Ontario",N2L 6K6,(519) 725-4864,(519) 725-4266,http://www.theupsstore.ca/135
"Royal LePage Wolle Realty, Brokerage","842 Victoria Street N, Unit 15",Kitchener,", Ontario",N2B 3C1,(519) 742-9904,(519) 578-7300,http://www.wollerealty.com
Kaune Property Maintenance Inc,23 - 500 Fairway Road South,Kitchener,", Ontario",N2C 1X3,(226) 647-2676,(519) 742-3232,
Waterloo Wellington Flight Centre,4881 Fountain Street North,Breslau,", Ontario",N0B 1M0,(519) 648-3102,(519) 648-2213,http://www.wwfc.ca
Christie Digital Systems Canada Inc,809 Wellington Street North,Kitchener,", Ontario",N2G 4Y7,(519) 749-3131,(519) 744-8005,http://www.christiedigital.com
Hammond Plumbing & Heating Inc,"625 Wabanaki Drive, Suite 100",Kitchener,", Ontario",N2C 2G3,(519) 894-0930,(519) 894-3222,http://www.totalbathandplumbingcentre.ca
Great Canadian Holidays and Coaches Inc,353 Manitou Drive,Kitchener,", Ontario",N2C 1L5,(519) 896-2373,(519) 896-8687,http://www.greatcanadianholidays.com
Ken Ertel Incorporated,1791 Glasgow Street,Kitchener,", Ontario",N2N 0A8,(519) 576-7050,(519) 576-7342,
Teledyne DALSA Inc.,605 McMurray Road,Waterloo,", Ontario",N2V 2E9,,(519) 886-6000,http://www.teledynedalsa.com
Knapp Fasteners Inc,520 Boxwood Drive,Cambridge,", Ontario",N3E 0A6,(519) 653-0294,(519) 653-4558,http://www.knappfast.com
"Hallman Business Forms, Labels & Printing","26 Elm St, Unit A5",Kitchener,", Ontario",N2G 2G4,(519) 749-0002,(519) 749-0331,http://www.hallmanbusinessforms.ca
Morning Glory Cafe & Bakery,100-659 King Street E,Kitchener,", Ontario",N2G 2M4,(519) 741-4283,(519) 741-1995,http://www.morningglorycafe.net
Victoria Star Motors Inc,125 Centennial Road,Kitchener,", Ontario",N2B 3E9,(519) 579-2757,(519) 579-4460,http://www.victoriastar.com
Waterloo Management Education Centre,464 Forestlawn Road,Waterloo,", Ontario",N2K 2J6,(519) 886-4789,(519) 886-4740,http://www.watmec.com
Kitchener City Hall Wedding Chapel and Officiants,200 King Street West,Kitchener,", Ontario",N2G 4G7,(519) 743-0347,(519) 743-3101,http://www.theweddingchapel.on.ca
H.H.D. Imports Inc.,"79 Rankin St, Unit 7",Waterloo,", Ontario",N2V 1W2,(519) 746-8368,(519) 884-7600,http://www.hhdimports.com
Lori Teskey - Re/Max Solid Gold Realty Inc,180 Weber Street South,Waterloo,", Ontario",N2J 2B2,(519) 888-6117,(519) 888-7110,http://www.kwhousehunter.com
Heer's Paint & Decor,"428 Gage Ave, Unit 3",Kitchener,", Ontario",N2M 5C9,(519) 576-3394,(519) 578-5330,http://www.heerspaint.com
Jim McIntyre - ReMax Solid Gold Realty,180 Weber Street South,Waterloo,", Ontario",N2J 2B2,(519) 888-6117,(519) 888-7110,http://www.remaxsolidgold.biz
Heffner Lexus & Heffner Toyota & Heffner Scion,3121 King Street East,Kitchener,", Ontario",N2A 1B1,(519) 748-6628,(519) 748-9666,http://www.heffner.ca
City of Waterloo,100 Regina St S,Waterloo,", Ontario",N2J 4A8,(519) 747-8553,(519) 747-8706,http://www.wearewaterloo.ca
Mardel Electrical & Mechanical,1657 Cox Creek Road,West Montrose,", Ontario",N0B 2V0,(519) 664-3294,(519) 884-7070,
BDO Canada LLP,"150 Caroline St S, Suite 201",Waterloo,", Ontario",N2L 0A5,(519) 576-5471,(519) 576-5220,http://www.bdo.ca
Roundtable Financial Inc.,334 Fountain Street North,Cambridge,", Ontario",N3H 1H8,(519) 650-5634,(519) 746-5494,
CBA Canada,"515 Riverbend Dr, Suite 102",Kitchener,", Ontario",N2K 3S3,,(519) 579-7749,http://www.cbacanada.com
Hogg Fuel & Supply Limited,5 Hill Street,Kitchener,", Ontario",N2G 4R3,(519) 579-2531,(519) 579-5330,http://www.hoggfuel.com
Deuce Design Inc.,76 Regina Street North,Waterloo,", Ontario",N2J 3A5,,(519) 570-2221,http://www.deucedesign.com
Wilson Blanchard Management Inc.,149 Ainslie Street North,Cambridge,", Ontario",N1R 3P4,(519) 620-8558,(519) 620-8778,http://www.wilsonblanchard.com
Holiday Inn Kitchener-Waterloo Hotel and Conference Centre,30 Fairway Rd S,Kitchener,", Ontario",N2A 2N2,(519) 894-8518,(519) 893-1211,http://www.holidayinn.com/kitcheneron
Hendrix Genetics Ltd.,650 Riverbend Drive,Kitchener,", Ontario",N2K 3S2,(519) 578-1870,(519) 578-2740,http://www.hendrix-genetics.com
Jantzi Financial Solutions Ltd,35 Nottingham Avenue,Kitchener,", Ontario",N2B 1A1,(519) 749-9509,(519) 749-0007,http://www.jantzifinancial.com
International Brotherhood of Electrical Workers #804,5158 Fountain Street N,Breslau,", Ontario",N0B 1M0,(519) 742-0583,(519) 742-8319,http://www.ibew804.ca
Hemmerich Hearing Center Ltd,608 Belmont Avenue West,Kitchener,", Ontario",N2M 1N5,(519) 745-8801,(519) 745-5888,
Tech Capital Partners Inc,8 Erb Street West,Waterloo,", Ontario",N2L 1S7,(519) 883-1265,(519) 883-8255,http://www.techcapital.com
Perimeter Institute For Theoretical Physics,31 Caroline St N,Waterloo,", Ontario",N2L 2Y5,(519) 569-7611,(519) 569-7600,http://www.perimeterinstitute.ca
"Impact Events Group, Inc.",81 Lennox Cresent,Kitchener,", Ontario",N2N 2P5,(519) 570-2492,(519) 579-3017,http://www.impacteventsgroup.ca
Italo Foods,"1601 River Rd E, Unit 24",Kitchener,", Ontario",N2A 3Y4,(519) 896-2958,(519) 896-1381,
JG Group Ltd,173 Roger Street,Waterloo,", Ontario",N2J 1B1,(519) 742-7426,(519) 579-0832,http://www.jggroup.on.ca
David T. Hodgins Real Estate,95 Boiler Beach Road,Kincardine,", Ontario",N2Z 0B8,(519) 576-9773,(519) 589-0312,http://www.sellwithus.ca
Greater Kitchener Waterloo Chamber of Commerce,80 Queen St N,Kitchener,", Ontario",N2H 2H3,(519) 742-4760,(519) 576-5000,http://www.greaterkwchamber.com
John Howard Society of Waterloo-Wellington,310 Charles St E,Kitchener,", Ontario",N2G 2P9,(519) 743-9632,(519) 743-6071,http://www.waterloo.johnhoward.on.ca
Junior Achievement of the Waterloo Region Inc,29 King Street East,Kitchener,", Ontario",N2G 2K4,(519) 725-3851,(519) 576-6610,http://www.jawaterlooregion.com
K W Auto Sales,633 Colby Drive,Waterloo,", Ontario",N2V 1B4,(519) 747-7268,(519) 574-4829,
Luther Village on the Park,139 Father David Bauer Dr,Waterloo,", Ontario",N2L 6L1,(519) 783-3237,(519) 783-3710,http://www.luthervillage.org
Manulife,500 King St N,Waterloo,", Ontario",N2J 4C6,(519) 747-6336,(519) 747-7000,http://www.manulife.com
Grand River Hospital Foundation,835 King St W,Kitchener,", Ontario",N2G 1G3,(519) 749-4354,(519) 749-4205,http://www.grhf.org
LSI - The Rust Authority,1605 Huron Road,Petersburg,", Ontario",N0B 2H0,(519) 696-3960,(519) 747-1331,http://www.lubespec.com
Erbsville Kartway,675 Conservation Drive,Waterloo,", Ontario",N2J 3Z4,,(519) 884-5650,http://www.erbsvillekartway.com
K-W International Shipping Inc,PO Box 1071,Kitchener,", Ontario",N2G 4G1,(519) 895-0343,(519) 895-0340,
K-W Oktoberfest Inc,17 Benton Street,Kitchener,", Ontario",N2G 3G9,(519) 742-3072,(519) 570-4267,http://www.oktoberfest.ca
Henry Walser Funeral Home,507 Frederick Street,Kitchener,", Ontario",N2B 2A5,(519) 749-8174,(519) 749-8467,http://www.henrywalser.com
Ironross Inc,678 Belmont Avenue,Kitchener,", Ontario",N2M 1N6,(519) 742-0543,(519) 742-0171,
Kelly & Co,50 Queen Street North,Kitchener,", Ontario",N2H 6P4,(519) 579-2556,(519) 579-3360,http://www.kellylaw.com
B & L Metal Products Ltd,7 Industrial Drive,Elmira,", Ontario",N3B 2Z5,(519) 669-8401,(519) 669-1551,http://www.blmetal.com
Kraemer Woodcraft Ltd,11 Henry Street West,St Jacobs,", Ontario",N0B 2N0,(519) 664-2105,(519) 664-2221,http://www.kraemerwoodcraft.com
Beingessner Home Exteriors Ltd,9 Henry Street,St Jacobs,", Ontario",N0B 2N0,(519) 664-1140,(519) 664-2346,http://www.beingessner.com
M & G Millwrights Ltd,"1540 Floradale Road, PO Box 247",Elmira,", Ontario",N3B 2Z6,(519) 669-1450,(519) 669-5105,http://www.mgmill.com
C.J. Brubacher Ltd,19 First Street East,Elmira,", Ontario",N3B 2E6,(519) 669-0490,(519) 669-3362,http://www.cjbrubacher.com
C. L. Martin & Co. Limited,2170 Floradale Road,Floradale,", Ontario",N0B 1V0,(519) 669-3921,(519) 669-2183,http://www.clmartin.ca
Martin Mills Inc,35 Earl Martin Dr,Elmira,", Ontario",N3B 3L4,(519) 669-5982,(519) 669-5171,http://www.martinmills.com
Menno S. Martin Contractor Ltd.,1185 King Street North,St Jacobs,", Ontario",N0B2N0,(519) 664-3001,(519) 664-2245,http://www.mennosmartin.com
Chemtura Canada Co./Cie,25 Erb Street,Elmira,", Ontario",N3B 3A3,(519) 669-4404,(519) 669-1671,http://www.chemtura.com
At the Crossroads,384 Arthur Street South,Elmira,", Ontario",N3B 2P4,(519) 669-0430,(519) 669-8117,http://www.crossroadsrestaurant.ca
Decortile Ltd,1600 King Street North,St Jacobs,", Ontario",N0B 2N0,(519) 664-3439,(519) 664-3728,http://www.decortile.com
Palmer Roofing & Insulation Ltd,PO Box 309,St Clements,", Ontario",N0B 2M0,(519) 699-5134,(519) 699-6138,http://www.palmerroofing.ca
Dr. Simone Peta,13 Memorial Avenue,Elmira,", Ontario",N3B 2R1,(519) 669-1216,(519) 669-5887,
Picard's,3011 Sawmill Road,St Jacobs,", Ontario",N0B 2N0,(519) 664-1934,(519) 664-2400,http://www.picardspeanuts.com
Golden Triangle Printing Inc.,80 Baffin Place,Waterloo,", Ontario",N2V 1Z7,(519) 725-2051,(519) 725-1414,http://www.goldentriangleprinting.com
Kitchener Public Library,85 Queen Street North,Kitchener,", Ontario",N2H 2H1,(519) 743-1261,(519) 743-0271,http://www.kpl.org
Plein Disposal,25 Earl Martin Drive,Elmira,", Ontario",N3B 3L4,(519) 669-3405,(519) 669-5136,
"Royal LePage Elmira Real Estate Services, Brokerage",90 Earl Martin Drive,Elmira,", Ontario",N3B 3L4,(519) 669-3322,(519) 669-3192,http://www.royallepage.ca/elmira
"Carstar - Elmira, A Division of Rudow's Auto Body Ltd.",33 First Street East,Elmira,", Ontario",N3B 2E6,(519) 669-2987,(519) 669-3373,http://www.carstar.ca
Kitchener Rangers Hockey Club,400 East Ave,Kitchener,", Ontario",N2H 1Z6,(519) 576-7571,(519) 576-3700,http://www.kitchenerrangers.com
Kitchener-Waterloo Art Gallery,101 Queen Street North,Kitchener,", Ontario",N2H 6P7,(519) 578-0740,(519) 579-5860,http://www.kwag.ca
Snyder Metal Fabricating Ltd,"2080 Northfield Dr E, RR 2",Elmira,", Ontario",N3B 2Z2,(519) 669-2580,(519) 669-1616,http://www.snydermetal.com
Elmira Auto Supplies Inc.,9 Mill Street,Elmira,", Ontario",N3B 2J8,(519) 669-1011,(519) 669-5161,
Waterloo Region Record,160 King Street East,Kitchener,", Ontario",N2G 4E5,(519) 893-7259,(519) 894-2250,http://www.therecord.com
Kitchener-Waterloo Symphony,36 King St W,Kitchener,", Ontario",N2G 1A3,(519) 745-4474,(519) 745-4711,https://kwsymphony.ca
Elmira Sip & Bite Restaurant,39 Arthur Street South,Elmira,", Ontario",N3B 2M4,,(519) 669-8991,
The Stone Crock Restaurant,7 Albert Street,St Jacobs,", Ontario",N0B 2N0,(519) 664-1513,(519) 664-2286,http://www.stjacobs.com
Frey Building Contractors,3435 Broadway Street,Hawkesville,", Ontario",N0B 1X0,(519) 699-4875,(519) 699-4641,http://www.freybc.com
Kitchener-Wilmot Hydro Inc.,301 Victoria St S,Kitchener,", Ontario",N2G 4L2,(519) 745-3631,(519) 745-4771,http://www.kwhydro.ca
Josslin Insurance - Elmira,48 Arthur Street South,Elmira,", Ontario",N3B 2M7,(519) 669-5482,(519) 669-1611,http://www.josslin.com
"Haney, Haney & Kendall",41 Erb Street East,Waterloo,", Ontario",N2J 3Z9,(519) 747-9323,(519) 747-1010,http://www.haneylaw.com
Home Hardware Stores Limited,34 Henry St W,St Jacobs,", Ontario",N0B 2N0,(519) 664-1260,(519) 664-2252,
William Knell and Company Ltd,2090 Shirley Drive,Kitchener,", Ontario",N2B 0A3,(519) 578-9540,(519) 578-1000,http://www.knells.ca
Unicorn Truck -Tank Wash,500 Airport Industrial Park,Breslau,", Ontario",N0B 1M0,(519) 648-3224,(519) 648-3344,http://www.utw.ca
Kodiak Building Ltd,5570 5th Line,Rockwood,", Ontario",N0B 2K0,(519) 856-2870,(519) 856-9971,
Kuehne + Nagel Ltd.,221 McIntyre Drive,Kitchener,", Ontario",N2R 1G1,(519) 893-4124,(519) 893-6141,http://www.kuehne-nagel.com
Weber's Fabricating Ltd,3044 Sawmill Road,St Jacobs,", Ontario",N0B 2N0,(519) 664-3624,(519) 664-3711,http://www.webersfab.ca
"Woods, Clemens, Fletcher & Cronin",9 Memorial Avenue,Elmira,", Ontario",N3B 2Z6,(519) 669-5618,(519) 669-5101,
Woolwich Observer,20-B Arthur Street North,Elmira,", Ontario",N3B 1Z9,(519) 669-5753,(519) 669-5790,http://www.woolwichobserver.com
Bank of Nova Scotia - Kitchener,64 King Street West,Kitchener,", Ontario",N2G 1A3,(519) 571-6440,(519) 571-6400,http://www.scotiabank.com
AmeriSpec Home Inspection Service,360 Guelph Street,Georgetown,", Ontario",L7G 4B5,(905) 873-7624,(519) 585-2224,http://www.homeinspectorshelp.com
Lackner McLennan Insurance Ltd.,423 King Street North,Waterloo,", Ontario",N2J 2Z5,(519) 579-1151,(519) 579-3330,http://www.lmicanada.com
Waste Management of Canada Corporation,219 Labrador Drive,Waterloo,", Ontario",N2K 4M8,(519) 342-1540,(519) 883-3000,http://wmcanada.com/en/index.jsp
Spilek-Weiss Electric Inc,64 Howard Avenue,Elmira,", Ontario",N3B 2E1,(519) 669-4225,(519) 669-1461,
William Davies Consulting,305 Margaret Avenue,Kitchener,", Ontario",N2H 6S4,,(519) 569-1818,
Motive Technical Services Inc,25 McIntyre Place,Kitchener,", Ontario",N2R 1H1,(519) 893-1012,(519) 893-1011,
Smith Energy Inc.,"565 Trillium Dr, Unit 7",Kitchener,", Ontario",N2R 1J4,(519) 576-2793,(519) 744-7295,http://smithenergy.com
MacNaughton Hermsen Britton Clarkson Planning Limited,"540 Bingemans Centre Dr, Suite 200",Kitchener,", Ontario",N2B 3X9,(519) 576-0121,(519) 576-3650,http://www.mhbcplan.com
Dewar Home Improvements,29 Cumberland Place,Kitchener,", Ontario",N2N 2V9,(519) 744-6656,(519) 743-3084,http://www.dewarhomeimprovements.com
"Lowes, Salmon & Gadbois",500 Dutton Drive,Waterloo,", Ontario",N2L 4C6,(519) 884-1026,(519) 884-0800,http://www.watlaw.ca
Spin Doctor Productions (DJ Service),5 Manitou Drive,Kitchener,", Ontario",N2C 2J6,(519) 748-2699,(519) 748-9714,http://www.spindoctorproductions.com
Go Energy,299 Northfield Drive East,Waterloo,", Ontario",N2K 4H2,(519) 888-0644,(519) 888-0335,http://www.gasontario.com
MGMT2GO Inc,468 Regency Crescent,Waterloo,", Ontario",N2T1P3,(519) 725-1927,(519) 841-7682,http://www.mgmt2go.com
Barber-Collins Security Services Ltd.,"245 Labrador Drive, Unit 1",Waterloo,", Ontario",N2K 4M8,(519) 745-3554,(519) 745-1111,http://www.barbercollins.ca
Tim Hortons,200 Victoria Street South,Kitchener,", Ontario",N2G 2B9,(519) 742-9845,(519) 742-9649,http://www.timhortons.com
Marsland Centre Limited,20 Erb Street West,Waterloo,", Ontario",N2L 1T2,(519) 886-5209,(519) 886-2940,http://www.marsland.on.ca
Marten's Furniture Warehouse-Showroom,71 Kingsbury Drive,Kitchener,", Ontario",N2A 2L9,(519) 893-5574,(519) 893-2979,http://www.furniturewonderland.ca
Masonry by Rasmussen Inc,214 Park Street,Kitchener,", Ontario",N2G 1M9,(519) 571-7276,(519) 571-0888,
IFS - Industrial & Financial Systems Canada Inc,420 Weber Street North,Waterloo,", Ontario",N2L 4E7,(519) 772-1901,(519) 772-1900,http://www.ifsworld.com
GT Wireless Inc/TELUS Mobility,565 King Street North,Waterloo,", Ontario",N2L 5Z7,(519) 880-1327,(519) 880-1477,http://www.gtwireless.ca
CIBC - Wood Gundy Waterloo,"150 Caroline Street S, Suite 300",Waterloo,", Ontario",N2L 0A5,(519) 888-6887,(519) 888-6688,http://www.cibcwoodgundy.com
LHH Knightsbridge,"115 King St S, Suite 202",Waterloo,", Ontario",N2J 5A3,(519) 772-1144,(519) 772-1139,http://www.lhhknightsbridge.com
Ricoh Canada,"55 King St W, Suite 800",Kitchener,", Ontario",N2G 4W1,(519) 743-9340,(519) 743-5601,http://www.ricoh.ca
Business & Education Partnership of Waterloo Region,"29 King St E, Unit B",Kitchener,", Ontario",N2G 2K4,,(519) 576-6610,http://www.bus-edpartnership.org
Minuteman Press,21 Third Avenue,Kitchener,", Ontario",N2C 1N7,(519) 893-2567,(519) 893-4755,http://www.minuteman.on.ca
LegalShield,75 York Street,Kitchener,", Ontario",N2G 1T5,,(519) 743-8574,http://www.rjkennedy.com
Martin's Family Fruit Farm Ltd,RR #1,Waterloo,", Ontario",N2J 4G8,(519) 664-1505,(519) 664-2750,http://www.martinsapples.com
Heartwood Place,107 Young Street,Kitchener,", Ontario",N2H 4Z2,(519) 745-0341,(519) 745-9315,http://www.heartwoodplace.ca
THEMUSEUM,10 King St W,Kitchener,", Ontario",N2G 1A3,(519) 749-8612,(519) 749-9387,http://www.themuseum.ca
Mercedes Corp.,1386 King Street,St Jacobs,", Ontario",N0B 2N0,(519) 664-2218,(519) 664-2293,http://www.stjacobs.com
"Wagner, Livock & Associates Financial Services Inc","379 Queen St S, Unit 2",Kitchener,", Ontario",N2G 1W6,(519) 570-4456,(519) 570-4633,http://www.sunlife.com
TD Canada Trust - Strasburg,700 Strasburg Road,Kitchener,", Ontario",N2E 2M2,,(519) 885-8433,http://www.tdcanadatrust.com
Leadership Waterloo Region,"230-B Gage Ave, Lower Level",Kitchener,", Ontario",N2M 2C8,(519) 742-3165,(519) 742-7338,http://www.leadershipwaterlooregion.org
Kenmar Incorporated,30 Rothsay Avenue,Kitchener,", Ontario",N2B 3A3,(519) 571-0126,(519) 571-0123,
Amber Steel,345 Arnold Street,Kitchener,", Ontario",N2H 6G1,(519) 744-2751,(519) 744-2990,http://www.ambersteel.com
Riordan Leasing Inc,1158 King Street East,Kitchener,", Ontario",N2G 2N4,(519) 579-5461,(519) 579-8193,http://www.truckandtrailer.ca/dealers/RIORDANLEASINGINC